YEAR,STATE/REGION,GDP_EXP_SUM,GeoFIPS,NAICS,NAICS_LDESC,BEA_GROUP,GDP,LEVEL,EST_POP
2016,AZ,22003600454,4000,..0,All industry total,False,313787100000.0,1,6944767
2016,CA,163260623585,6000,..0,All industry total,False,2586485200000.0,1,39149186
2016,CO,7569450383,8000,..0,All industry total,False,330565900000.0,1,5543844
2016,CT,14394037172,9000,..0,All industry total,False,264760400000.00003,1,3579830
2016,DE,4517475621,10000,..0,All industry total,False,70021500000.0,1,949989
2016,FL,52036275171,12000,..0,All industry total,False,964500800000.0,1,20627237
2016,GA,35673171765,13000,..0,All industry total,False,554903200000.0,1,10308442
2016,HI,795459312,15000,..0,All industry total,False,84287200000.0,1,1428885
2016,IA,12330347368,19000,..0,All industry total,False,183834800000.0,1,3133210
2016,ID,4876923159,16000,..0,All industry total,False,69185200000.0,1,1684036
2016,IL,59862080853,17000,..0,All industry total,False,813561600000.0,1,12821709
2016,IN,34653128929,18000,..0,All industry total,False,342716600000.0,1,6637898
2016,KS,10154596118,20000,..0,All industry total,False,162144500000.0,1,2912977
2016,KY,29192167886,21000,..0,All industry total,False,197944800000.0,1,4440306
2016,LA,48367038279,22000,..0,All industry total,False,227440300000.0,1,4681346
2016,MA,25893025431,25000,..0,All industry total,False,514108000000.0,1,6827280
2016,MD,9655988695,24000,..0,All industry total,False,386496400000.0,1,6007014
2016,ME,2863225983,23000,..0,All industry total,False,61092200000.0,1,1332348
2016,MI,54752035690,26000,..0,All industry total,False,494752500000.0,1,9954117
2016,MN,19200802964,27000,..0,All industry total,False,345248800000.0,1,5525360
2016,MO,13935077893,29000,..0,All industry total,False,304143300000.0,1,6091384
2016,MS,10504650171,28000,..0,All industry total,False,107795400000.0,1,2990595
2016,MT,1360078277,30000,..0,All industry total,False,45859400000.0,1,1042137
2016,NC,30183276640,37000,..0,All industry total,False,528284300000.00006,1,10161802
2016,ND,5294202941,38000,..0,All industry total,False,52666300000.0,1,756114
2016,NE,6381398651,31000,..0,All industry total,False,119389800000.0,1,1906483
2016,NH,4143394613,33000,..0,All industry total,False,79759700000.0,1,1343694
2016,NJ,31164475490,34000,..0,All industry total,False,578651400000.0,1,8873584
2016,NM,3616162647,35000,..0,All industry total,False,90476000000.0,1,2092555
2016,NV,9765664068,32000,..0,All industry total,False,153318000000.0,1,2919555
2016,NY,76690888410,36000,..0,All industry total,False,1556830000000.0,1,19636391
2016,OH,49330233679,39000,..0,All industry total,False,627294700000.0,1,11640060
2016,OK,5046307091,40000,..0,All industry total,False,182238800000.0,1,3928143
2016,OR,21771786558,41000,..0,All industry total,False,211782400000.0,1,4093271
2016,PA,36452574836,42000,..0,All industry total,False,733165900000.0,1,12788468
2016,RI,2278401668,44000,..0,All industry total,False,57714600000.0,1,1057816
2016,SC,31323570455,45000,..0,All industry total,False,217555500000.0,1,4963031
2016,SD,1218073801,46000,..0,All industry total,False,49842600000.0,1,863693
2016,TN,31475693731,47000,..0,All industry total,False,339350200000.0,1,6651277
2016,TX,231527470870,48000,..0,All industry total,False,1582981500000.0,1,27914064
2016,USA,1451459683815,0,..0,All industry total,False,18804913000000.0,1,323071755
2016,UT,12077634650,49000,..0,All industry total,False,159330600000.0,1,3044241
2016,VA,16310657274,51000,..0,All industry total,False,499032400000.0,1,8417651
2016,VT,2993069911,50000,..0,All industry total,False,31840200000.0,1,624366
2016,WA,79562375471,53000,..0,All industry total,False,489790200000.0,1,7299961
2016,WI,21036367309,55000,..0,All industry total,False,315420000000.0,1,5775170
2016,WV,5045388871,54000,..0,All industry total,False,71248900000.0,1,1832435
2016,WY,1098652374,56000,..0,All industry total,False,36105900000.0,1,585243
2017,AK,4941375162,2000,..0,All industry total,False,53550900000.0,1,740983
2017,AL,21797744264,1000,..0,All industry total,False,216615500000.0,1,4877989
2017,AR,6234130099,5000,..0,All industry total,False,123882600000.0,1,3003855
2017,AZ,20917666033,4000,..0,All industry total,False,333099000000.0,1,7048088
2017,CA,171920430585,6000,..0,All industry total,False,2740550300000.0,1,39337785
2017,CO,8054451575,8000,..0,All industry total,False,350209100000.0,1,5617421
2017,CT,14791614108,9000,..0,All industry total,False,273875099999.99997,1,3575324
2017,DE,4565457288,10000,..0,All industry total,False,69555600000.0,1,957942
2017,FL,54897251958,12000,..0,All industry total,False,1014866900000.0,1,20977089
2017,GA,37222459894,13000,..0,All industry total,False,583543300000.0,1,10417031
2017,HI,952378645,15000,..0,All industry total,False,87436400000.0,1,1425763
