YEAR,STATE/REGION,GDP_IMP_SUM,GeoFIPS,NAICS,NAICS_LDESC,BEA_GROUP,GDP,LEVEL,EST_POP
2016,IA,8225633053,19000,..0,All industry total,False,183834800000.0,1,3133210
2016,ID,4493477295,16000,..0,All industry total,False,69185200000.0,1,1684036
2016,IL,121458698407,17000,..0,All industry total,False,813561600000.0,1,12821709
2016,IN,49509582233,18000,..0,All industry total,False,342716600000.0,1,6637898
2016,KS,11133831703,20000,..0,All industry total,False,162144500000.0,1,2912977
2016,KY,39974493763,21000,..0,All industry total,False,197944800000.0,1,4440306
2016,LA,32421775246,22000,..0,All industry total,False,227440300000.0,1,4681346
2016,MA,33781643724,25000,..0,All industry total,False,514108000000.0,1,6827280
2016,MD,30683579168,24000,..0,All industry total,False,386496400000.0,1,6007014
2016,ME,3353603292,23000,..0,All industry total,False,61092200000.0,1,1332348
2016,MI,134884158580,26000,..0,All industry total,False,494752500000.0,1,9954117
2016,MN,26999395218,27000,..0,All industry total,False,345248800000.0,1,5525360
2016,MO,17189608103,29000,..0,All industry total,False,304143300000.0,1,6091384
2016,MS,13928181004,28000,..0,All industry total,False,107795400000.0,1,2990595
2016,MT,3488983286,30000,..0,All industry total,False,45859400000.0,1,1042137
2016,NC,47038505181,37000,..0,All industry total,False,528284300000.00006,1,10161802
2016,ND,2561257935,38000,..0,All industry total,False,52666300000.0,1,756114
2016,NE,3555689539,31000,..0,All industry total,False,119389800000.0,1,1906483
2016,NH,8608175085,33000,..0,All industry total,False,79759700000.0,1,1343694
2016,NJ,108045889198,34000,..0,All industry total,False,578651400000.0,1,8873584
2016,NM,2290278987,35000,..0,All industry total,False,90476000000.0,1,2092555
2016,NV,10560142494,32000,..0,All industry total,False,153318000000.0,1,2919555
2016,NY,130055055264,36000,..0,All industry total,False,1556830000000.0,1,19636391
2016,OH,64243544342,39000,..0,All industry total,False,627294700000.0,1,11640060
2016,OK,8482305597,40000,..0,All industry total,False,182238800000.0,1,3928143
2016,OR,17593040053,41000,..0,All industry total,False,211782400000.0,1,4093271
2016,PA,77131539318,42000,..0,All industry total,False,733165900000.0,1,12788468
2016,RI,8744651317,44000,..0,All industry total,False,57714600000.0,1,1057816
2016,SC,36107126097,45000,..0,All industry total,False,217555500000.0,1,4963031
2016,SD,1030677216,46000,..0,All industry total,False,49842600000.0,1,863693
2016,TN,75229319192,47000,..0,All industry total,False,339350200000.0,1,6651277
2016,TX,229044765367,48000,..0,All industry total,False,1582981500000.0,1,27914064
2016,USA,2186785900709,0,..0,All industry total,False,18804913000000.0,1,323071755
2016,UT,12978434798,49000,..0,All industry total,False,159330600000.0,1,3044241
2016,VA,25867709439,51000,..0,All industry total,False,499032400000.0,1,8417651
2016,VT,3703468556,50000,..0,All industry total,False,31840200000.0,1,624366
2016,WA,46974752550,53000,..0,All industry total,False,489790200000.0,1,7299961
2016,WI,22398742914,55000,..0,All industry total,False,315420000000.0,1,5775170
2016,WV,3331298912,54000,..0,All industry total,False,71248900000.0,1,1832435
2016,WY,876524791,56000,..0,All industry total,False,36105900000.0,1,585243
2017,AK,1720967358,2000,..0,All industry total,False,53550900000.0,1,740983
2017,AL,23594533595,1000,..0,All industry total,False,216615500000.0,1,4877989
